Geneid	5_R1	5_R2	10_R1	10_R2	20_R1	20_R2	Entity	Symbol	is_outlier	outlier_info
gene-AUO97_RS00355	69	46	17	26	7	5	host	gene-AUO97_RS00355	False	
gene-AUO97_RS16955	0	0	0	1	0	0	host	gene-AUO97_RS16955	False	
gene-AUO97_RS18930	36	21	6	11	7	3	host	pgaC	False	
gene-AUO97_RS07300	157	139	67	76	28	30	host	mnmE	False	
gene-AUO97_RS03405	55	65	34	44	15	22	host	gene-AUO97_RS03405	False	
gene-AUO97_RS10340	625	458	141	182	65	56	host	pcnB	False	
gene-AUO97_RS05825	44	34	10	16	8	3	host	gene-AUO97_RS05825	False	
gene-AUO97_RS03760	0	0	0	0	0	0	host	gene-AUO97_RS03760	False	
gene-AUO97_RS16950	0	0	0	0	0	0	host	gene-AUO97_RS16950	False	
gene-AUO97_RS19485	21	14	1	6	6	2	host	gene-AUO97_RS19485	False	
gene-AUO97_RS06220	602	439	177	186	92	62	host	parC	False	
gene-AUO97_RS02775	505	435	100	145	71	54	host	gene-AUO97_RS02775	False	
gene-AUO97_RS15115	50	52	15	15	6	4	host	ruvC	False	
gene-AUO97_RS03615	106	79	37	40	7	16	host	gene-AUO97_RS03615	False	
gene-AUO97_RS09000	66	71	12	23	21	9	host	gene-AUO97_RS09000	False	
gene-AUO97_RS16635	6	8	5	6	1	0	host	gene-AUO97_RS16635	False	
gene-AUO97_RS08310	0	0	0	0	0	0	host	gene-AUO97_RS08310	False	
gene-AUO97_RS18325	40	35	14	14	2	3	host	gene-AUO97_RS18325	False	
gene-AUO97_RS03340	41	28	17	28	10	9	host	gene-AUO97_RS03340	False	
gene-AUO97_RS07860	250	176	72	133	41	42	host	phoB	False	
gene-AUO97_RS07515	153	123	39	63	24	18	host	gene-AUO97_RS07515	False	
gene-AUO97_RS19855	5	2	2	9	0	0	host	gene-AUO97_RS19855	False	
gene-AUO97_RS06750	36	38	17	17	6	6	host	gene-AUO97_RS06750	False	
gene-AUO97_RS10755	228	183	75	88	19	16	host	gene-AUO97_RS10755	False	
gene-AUO97_RS14145	9	9	4	5	1	3	host	abaF	False	
gene-AUO97_RS19735	1	0	0	0	1	1	host	gene-AUO97_RS19735	False	
gene-AUO97_RS05245	14	11	5	8	1	0	host	gene-AUO97_RS05245	False	
gene-AUO97_RS15435	89	77	26	35	11	14	host	pyrF	False	
gene-M172_gp42	3045	3694	26769	44731	107698	90363	phage	gene-M172_gp42	False	
gene-AUO97_RS01920	22	17	4	14	4	4	host	gene-AUO97_RS01920	False	
gene-AUO97_RS11645	132	108	31	41	18	13	host	gene-AUO97_RS11645	False	
gene-AUO97_RS14740	297	249	69	71	41	25	host	tauD	False	
gene-AUO97_RS16370	18	7	2	4	0	0	host	gene-AUO97_RS16370	False	
gene-AUO97_RS17485	31	25	7	12	3	11	host	gene-AUO97_RS17485	False	
gene-AUO97_RS02535	58	27	19	34	14	9	host	gene-AUO97_RS02535	False	
gene-AUO97_RS07230	28	28	4	9	3	1	host	gene-AUO97_RS07230	False	
gene-AUO97_RS02325	94	47	21	20	7	9	host	gene-AUO97_RS02325	False	
gene-AUO97_RS03795	0	0	0	0	0	0	host	gene-AUO97_RS03795	False	
gene-AUO97_RS08470	0	0	0	0	0	0	host	gene-AUO97_RS08470	False	
gene-AUO97_RS03745	0	0	0	0	0	0	host	gene-AUO97_RS03745	False	
gene-AUO97_RS16480	2	4	3	3	0	1	host	gene-AUO97_RS16480	False	
gene-AUO97_RS10605	476	371	111	134	82	53	host	hisG	False	
gene-AUO97_RS12010	83	73	30	51	9	8	host	gene-AUO97_RS12010	False	
gene-AUO97_RS11335	181	135	67	92	25	22	host	panD	False	
gene-AUO97_RS01170	0	0	0	0	0	0	host	gene-AUO97_RS01170	False	
gene-AUO97_RS17685	445	323	86	106	29	25	host	gene-AUO97_RS17685	False	
gene-AUO97_RS19195	353	267	82	88	40	30	host	csuD	False	
gene-AUO97_RS01060	404	328	99	123	40	37	host	gene-AUO97_RS01060	False	
gene-AUO97_RS04790	56	42	16	24	6	11	host	truB	False	
gene-AUO97_RS12095	367	264	115	121	73	35	host	gene-AUO97_RS12095	False	
gene-AUO97_RS00645	13	4	2	1	0	0	host	gene-AUO97_RS00645	False	
gene-AUO97_RS13440	8	16	4	5	1	2	host	gene-AUO97_RS13440	False	
gene-AUO97_RS04945	162	124	41	30	31	13	host	aroK	False	
gene-AUO97_RS08170	0	0	0	0	0	0	host	gene-AUO97_RS08170	False	
gene-AUO97_RS12625	0	0	0	0	0	0	host	gene-AUO97_RS12625	False	
gene-AUO97_RS18880	80	56	26	30	12	12	host	prmC	False	
gene-AUO97_RS03145	225	182	54	50	35	19	host	mutM	False	
gene-AUO97_RS06945	0	0	0	0	0	0	host	gene-AUO97_RS06945	False	
gene-AUO97_RS13670	859	651	175	193	114	98	host	gene-AUO97_RS13670	False	
gene-AUO97_RS13795	19	14	4	4	1	0	host	gene-AUO97_RS13795	False	
gene-AUO97_RS00440	17	9	7	9	3	1	host	adeF	False	
gene-AUO97_RS04755	381	294	75	113	33	22	host	gene-AUO97_RS04755	False	
gene-AUO97_RS09355	172	158	57	67	23	20	host	gene-AUO97_RS09355	False	
