Geneid	0_R1	0_R2	0_R3	1_R1	1_R2	1_R3	4_R2	4_R3	7_R1	7_R2	7_R3	20_R1	20_R2	20_R3	gene_length	Entity	Symbol
gene-b4517	1948.8167675433915	2152.9147609887914	2104.351675615035	1811.4270805994852	1620.290511493204	1832.141920303729	183.49810396622843	223.31314397187677	66.46541556788672	82.53948110927726	87.29140121410468	21.977269797981123	31.040386775649182	19.675032710801204	174.0	host	gnsA
gene-b2418	433.59318595096795	497.1722813127635	477.2494715259528	402.0629169311044	436.21233981285303	358.4961850420493	33.376756325605875	34.113441683365856	10.82805299852063	12.883781273279094	12.965176108625021	5.59199984238633	8.519393732373196	6.14539132723451	852.0	host	pdxK
gene-b3161	216.58558133348893	169.42716701764334	212.1363046190872	214.0514544942786	194.78365728090947	160.89089731352803	14.373355595282035	22.09670107002686	6.700946247173497	7.634104190255647	6.843768981464334	2.6938758910975866	3.9938749708657038	2.264511206402633	1245.0	host	mtr
gene-b3103	177.43150228385295	221.00062339165922	162.74635577596177	158.65127450437913	135.09992296850734	141.65225578327008	11.649920134243837	14.438476062706263	6.874441993099535	5.8520493908216915	5.612972583612052	2.9117962941157463	2.6546813566475924	3.4847132830766516	366.0	host	yhaH
gene-b4184	3.3047049011305	5.436130762303342	5.6334389004588825	4.5956760165099135	4.976006018564323	4.921843018215696	1.1780275643412748	0.6816927552825711	0.2212589165435017	0.23964487972618367	0.33762241104433394	0.0	0.0	0.16823704809471762	399.0	host	yjfL
gene-b4714	1.2277255638278115	1.514676099273068	3.7671655663962476	4.173478592274367	2.640897048958719	2.9256094812187152	0.937815239768892	0.0	0.24659862486272954	0.7478526805309844	0.3762886648231544	0.0	0.0	0.0	179.0	host	ralA
gene-b1790	51.064123238088875	36.94188131171103	55.509933165507086	44.69757723924545	47.15704000561568	45.392325938069575	3.2675217113115655	3.687111909959017	1.6109910164389998	1.4656820782669293	0.9013532616019355	0.8389073908766277	0.6605357862504421	0.6533000699736481	822.0	host	nimR
gene-b0144	92.93101117871616	80.91888819453423	101.59697398248291	79.8555857741151	86.38496748301581	103.09854123809318	13.690281500160253	18.610874056840682	4.571252178685161	4.373480277514223	3.051713249342475	2.29928251056389	2.4353530283047298	1.8103177505337738	927.0	host	gluQ
gene-b1214	815.8357628481617	863.2550483265657	872.7344409179423	908.7044686834404	1035.4331338555533	947.9651943565585	102.46221970737221	121.55844220679508	32.3156842386471	36.287737747041625	27.940130193979993	14.511403099759846	19.086522756149712	13.839678056413975	810.0	host	ychA
gene-b2845	115.15217360469707	126.81984812325513	124.08267482530253	95.63157583190224	103.84479552075418	136.24301714163255	22.928438935227742	31.906546277737906	6.208471232621258	6.980913796394396	5.39392975108085	2.1915758047247067	3.090018629337434	2.073829368465129	1230.0	host	yqeG
gene-b4559	281.65012259376294	257.1032102990233	237.69227029660314	378.6003594444087	414.58137500647706	361.16144630217246	16.208034419729955	19.204930381581406	6.342119806096062	9.781642901099437	11.613046724714591	1.260990890048097	3.9416364159554518	1.1573548653412473	174.0	host	ghoT
gene-b2826	13.764341485759573	11.896585527057685	15.27128405118026	14.70746422268778	14.452603467932049	11.952450200074551	1.924611912442911	1.4024634392119142	0.46858974363512307	0.3654202815697349	0.35751417730013074	0.19964732927058135	0.4247092316554972	0.14251928278087544	471.0	host	ppdA
gene-b4808	19.061065769020566	10.144208297512485	25.229758504198	21.482961696224912	28.94207582226188	20.038932288449615	3.083306839321806	3.9649476582761793	0.4504199372492713	0.7805576082509983	0.0	0.9595295110861612	0.2916006532211941	0.6849651243856361	98.0	host	chiZ
gene-b1557	0.0	0.0	0.0	0.6288322121356158	0.4377042331144544	2.4244634126766207	0.0	0.0	0.0	0.08853546945439564	0.0	0.0	0.0	0.0	216.0	host	cspB
gene-b2121	10.437286983253848	7.63066376133345	8.698386397225695	7.526076290889587	7.8163120045346375	5.8724469995702835	0.9449086531919461	0.37592027929830446	0.34940227322238987	0.3195686601942302	0.20733935665057712	0.1929748591630333	0.22620208983385506	0.11807666172346935	1137.0	host	yehP
gene-b0531	3.1711814707817934	3.390717924972034	3.8921941494079557	4.7039916128586325	6.002800911283946	7.178930624548955	0.9204933998424248	1.3456792052331277	0.25478299480766864	0.5243139489766807	0.5831659827129405	0.1356910419717804	0.2886551920775457	0.0	693.0	host	sfmC
gene-b1623	732.6525818643294	873.1805381750498	700.568727022665	840.8578660334138	890.7150094707555	753.7758374226515	66.41042218258043	77.51907945624951	30.70497428517837	27.292251302468785	32.73673830202478	14.921545750244077	20.61983301729989	13.934460175126551	1002.0	host	add
gene-b3941	182.76575876605736	180.5484843809895	177.34710564107917	145.88907321546287	159.907946497814	174.12055418313912	12.472416417747942	16.615400186836812	9.115569369785478	7.748195023766503	10.46998926370733	5.804561239903939	7.088088605459732	7.08181675178505	891.0	host	metF
gene-b2548	10.496804033011564	10.194816875493423	9.365592172012894	6.970835132088716	7.974757613085303	7.7168896427877804	0.6823940159293971	0.9872074962171382	0.4934478580840595	0.3692576896756501	0.2738035406640026	0.222980096410944	0.40658139859703085	0.13643614266217954	984.0	host	yphF
gene-b3535	187.20541282515185	245.30540064893827	141.5245039326393	193.32098864512074	159.57445755829823	164.86351206201022	10.658344629754392	14.802471257564404	8.174287750079369	6.172187013392152	4.454740145723851	1.9901352822527791	2.1168047419020017	3.9068381168662207	189.0	host	yhjR
gene-b4049	323.8220796989982	392.15032307371087	323.73549820021447	370.84380121921424	401.22044674734207	419.88062605320357	53.88624930875537	51.05996949682981	15.606747074284481	16.21273799026158	12.945526363359589	7.9418476617645215	11.315116676727607	8.148313445003694	1038.0	host	dusA
gene-b3817	5.191249037602637	5.930162330924741	8.259419868231843	8.734330883521467	5.4592401988448485	6.872494713099082	1.1455622377649406	1.6317684850858398	0.23171209370303722	0.6023200441621877	0.265179807099782	0.08226937190415032	0.30001956971839394	0.17618525509131847	381.0	host	yigF
gene-b3527	214.18439276876092	236.23247298720486	189.33886539331877	232.4133611618183	215.5504758088448	190.04100585858384	22.988062941429188	20.479471131144336	7.931843945066994	9.184978322074455	6.996530955925244	3.999214738034016	6.1277043079708235	3.856303318852465	1497.0	host	yhjJ
gene-b0444	180.60971986954306	179.06329646583495	151.46423202324303	175.3466097736089	158.66023787928086	163.65128035567187	14.133791919585944	12.449707776432131	4.249220270084362	5.467828475614572	5.032320247376323	2.521981780096194	3.2025795879638044	2.7004946857962433	696.0	host	queC
gene-b1572	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	129.0	host	ydfB
gene-b0058	253.0602813683871	190.88437795313712	288.1196719099239	221.4404051753201	252.83388156447663	372.13309326938236	65.67235937665257	82.3639778553001	26.016528557298063	26.512348762070836	23.42140378070847	8.311076320771548	8.053479858963524	6.81436516169104	660.0	host	rluA
gene-b2429	83.97255153772602	56.69884385082385	73.82058335161321	57.23829373451681	53.40913126592374	53.47090254989532	5.1362001805279585	7.253210916206557	1.9824798922297753	2.160638235611272	2.3397233085372346	1.0778153712832155	1.3837218365485715	1.3189784570625862	1425.0	host	murP
gene-b3198	1348.2278023028794	1053.2671133776375	1130.2138955516937	1187.8341043331243	1274.928215768807	1158.6626099820269	81.77318852050455	91.41896600736536	28.57108194551551	34.73963182401048	29.40128496177742	21.780925033544303	29.232065483408597	18.70546734742009	567.0	host	kdsC
gene-b1384	16.373061948067917	12.768307132650673	15.878090039968878	26.91068711801556	27.131865046035053	19.941612970492468	2.2234295088560483	1.97284592091711	0.43848828328240325	0.4643714689263665	0.706268073434629	0.20758033573166404	0.3469597176296327	0.4445469019191545	906.0	host	feaR
gene-b1580	8.725878897029137	8.594549382901397	7.933207486881511	12.91695343986806	11.58628852361791	12.065270865437771	2.4357452286232832	1.942824352555328	0.6924102564773111	0.7874448812649776	0.7924196588628779	0.24584024074887267	0.19611573344092073	0.4606726228711238	1020.0	host	rspB
gene-b0828	682.8346501960897	1018.457128704936	658.7327065582236	572.9794131695331	921.2668202921051	523.0064520849174	37.67493123474053	26.22611755416302	14.302464963958748	20.23227945444798	15.479253584619574	8.923160912274689	16.122557855635588	8.130238215533854	966.0	host	iaaA
